"_id",stopID,lat,lon,timeRT,timeSC,weight,count
6098558320555829007e00c2,MOREASS,40.048117,-82.920331,2300.395095608612,1717.7256476147263,33.19518939393934,2767
6098558320555829007e00c3,HIGCOON,40.050206,-83.020081,2078.050461232132,2230.647282720767,41.56178107606688,2760
6098558320555829007e00c4,4TH15TN,39.999446,-82.998671,1966.9995348149225,2663.0863689495454,96.00000000000004,2714
6098558320555829007e00c5,TREZOLS,40.019014,-83.0629,3113.518442117967,3022.427835764362,23.086306947021427,2426
6098558320555829007e00c6,KARPAUN,40.03776,-82.977668,1830.1021666205984,2019.7886410763913,15.649999999999975,2694
6098558320555829007e00c7,LIVGRAE,39.944832,-82.879774,1773.4659047338673,1673.5107426933544,26.316666666666677,2713
6098558320555829007e00c8,GRESHEW,39.971629,-82.95006,2662.4806034865533,2663.8156943870745,16.176543209876648,2747
6098558320555829007e00c9,MAIOHIW,39.957929,-82.970702,2669.036561835091,2316.547365442833,44.788368810677,2773
6098558320555829007e00ca,AGL540W,40.019664,-82.896674,3272.098231986738,3205.569519328809,6.450000000000002,1978
6098558320555829007e00cb,WHIJAEE,39.944486,-82.990264,2286.5898950441956,3039.764938055573,57.18737836237886,2615
6098558320555829007e00cc,3RDCAMW,39.985756,-83.058266,1693.1766191469685,1989.4626079804843,19.06111111111122,2714
6098558320555829007e00cd,HARZETS,39.930187,-83.05124,2016.49550364826,3311.998913028033,40.955303030303085,2393
